Hour,Country Name,Operator Name,Attempts,Answered,A-Release %,NER,ASR,ConV Time (Min),ACT (Sec),CST (Sec)
24-10-2021 17:00,Egypt,Egypt-EtisalatMisr-EGYEM,"1,623",695,2.05%,98.58%,42.82%,"2,720",235,3.58
24-10-2021 16:00,Egypt,Egypt-EtisalatMisr-EGYEM,"1,892",781,1.53%,98.68%,41.28%,"2,537",195,3.55
24-10-2021 13:00,Egypt,Egypt-EtisalatMisr-EGYEM,"1,839",729,2.54%,97.77%,39.64%,"2,496",205,3.42
24-10-2021 14:00,Egypt,Egypt-EtisalatMisr-EGYEM,"1,695",722,1.99%,98.64%,42.60%,"2,347",195,3.44
24-10-2021 15:00,Egypt,Egypt-EtisalatMisr-EGYEM,"1,542",662,2.31%,97.99%,42.93%,"2,277",206,3.56
24-10-2021 18:00,Egypt,Egypt-EtisalatMisr-EGYEM,"1,487",587,1.60%,98.66%,39.48%,"2,180",223,3.62
24-10-2021 20:00,Egypt,Egypt-EtisalatMisr-EGYEM,"1,332",544,2.31%,98.42%,40.84%,"2,135",236,3.45
24-10-2021 22:00,Egypt,Egypt-EtisalatMisr-EGYEM,817,364,2.42%,98.16%,44.55%,"2,053",338,3.52
24-10-2021 19:00,UAE,UAE-Etisalat-ARETC,"1,074",485,20.06%,97.21%,45.16%,"2,022",250,3.36
24-10-2021 15:00,UAE,UAE-Etisalat-ARETC,"1,168",580,20.59%,97.26%,49.66%,"2,008",208,3.41
24-10-2021 16:00,UAE,UAE-Etisalat-ARETC,"1,136",554,18.14%,97.80%,48.77%,"1,838",199,3.52
24-10-2021 17:00,UAE,UAE-Etisalat-ARETC,"1,138",557,20.38%,97.36%,48.95%,"1,829",197,3.35
24-10-2021 20:00,UAE,UAE-Etisalat-ARETC,"1,000",454,20.22%,97.80%,45.40%,"1,819",240,3.49
24-10-2021 21:00,Egypt,Egypt-EtisalatMisr-EGYEM,"1,072",441,2.87%,98.23%,41.14%,"1,809",246,3.73
24-10-2021 14:00,UAE,UAE-Etisalat-ARETC,"1,127",536,17.07%,97.60%,47.56%,"1,780",199,3.3
24-10-2021 19:00,Egypt,Egypt-EtisalatMisr-EGYEM,"1,271",478,1.66%,98.58%,37.61%,"1,776",223,3.41
24-10-2021 13:00,UAE,UAE-Etisalat-ARETC,"1,127",573,19.33%,98.23%,50.84%,"1,756",184,3.6
24-10-2021 21:00,Yemen,Yemen-Mtn-YEMSP,317,79,8.05%,99.05%,24.92%,"1,739","1,320",7.19
24-10-2021 18:00,UAE,UAE-Etisalat-ARETC,987,456,20.04%,97.87%,46.20%,"1,616",213,3.59
24-10-2021 23:00,Egypt,Egypt-EtisalatMisr-EGYEM,585,258,3.79%,98.46%,44.10%,"1,541",358,3.55
