Hour,Country Name,Operator Name,Attempts,Answered,A-Release %,NER,ASR,ConV Time (Min),ACT (Sec),CST (Sec)
27-10-2021 12:00,United Kingdom,UK-T-Mobile-GBRME,138,58,,93.48%,42.03%,287,297,3.55
27-10-2021 07:00,Yemen,Yemen-Sabafon-YEMSA,69,16,9.38%,97.10%,23.19%,286,"1,074",9.69
27-10-2021 05:00,Bangladesh,Bangladesh-Grameen-BGDGP,455,100,6.17%,99.34%,21.98%,285,171,2.44
27-10-2021 12:00,Jordan,Jordan-Zain-JORFL,172,69,3.45%,93.60%,40.12%,283,246,2.92
27-10-2021 11:00,Sudan,Sudan-Mtn-SDNBT,95,34,10.11%,95.79%,35.79%,276,487,5.13
27-10-2021 10:00,Jordan,Jordan-Orange-JORMC,224,97,1.95%,96.88%,43.30%,273,169,3.27
27-10-2021 02:00,Egypt,Egypt-Mobinil-EGYAR,57,17,4.00%,100.00%,29.82%,272,960,3.51
27-10-2021 12:00,Sudan,Sudan-Mtn-SDNBT,93,52,23.53%,95.70%,55.91%,267,308,4.91
27-10-2021 00:00,Egypt,Egypt-Vodafone-EGYMS,127,51,2.68%,96.85%,40.16%,258,304,3.63
27-10-2021 11:00,Jordan,Jordan-Orange-JORMC,259,87,0.90%,92.66%,33.59%,255,176,3.1
27-10-2021 02:00,Sudan,Sudan-Mtn-SDNBT,7,6,28.57%,85.71%,85.71%,251,"2,508",5.19
27-10-2021 09:00,Bahrain,Bahrain-Batelco-BHRBT,232,100,1.72%,99.57%,43.10%,236,142,5.37
27-10-2021 09:00,Egypt,Egypt-Vodafone-EGYMS,349,82,,99.14%,23.50%,227,166,4.13
27-10-2021 06:00,UAE,UAE-Etisalat-ARETC,200,95,26.84%,98.00%,47.50%,227,143,3.98
27-10-2021 11:00,India,India-Tata,120,44,6.09%,98.33%,36.67%,219,298,4.06
27-10-2021 04:00,Egypt,Egypt-EtisalatMisr-EGYEM,90,16,2.56%,97.78%,17.78%,217,815,3.18
27-10-2021 11:00,Jordan,Jordan-Zain-JORFL,188,78,3.87%,89.36%,41.49%,217,167,2.72
27-10-2021 08:00,Bangladesh,Bangladesh-Banglalink-BGDBL,194,67,8.76%,97.42%,34.54%,214,192,2.66
27-10-2021 07:00,Egypt,Egypt-EtisalatMisr-EGYEM,197,50,1.08%,98.48%,25.38%,210,252,3.81
27-10-2021 06:00,Yemen,Yemen-Sabafon-YEMSA,56,13,1.92%,96.43%,23.21%,205,945,10.66
27-10-2021 10:00,Jordan,Jordan-Zain-JORFL,174,77,1.36%,93.68%,44.25%,199,155,3
27-10-2021 12:00,Bangladesh,Bangladesh-Banglalink-BGDBL,303,62,5.65%,98.68%,20.46%,194,188,2.07
