Day,Country Name,Operator Name,Attempts,Answered,A-Release %,NER,ASR,ConV Time (Min),ACT (Sec),CST (Sec)
25-10-2021,Egypt,Egypt-EtisalatMisr-EGYEM,"21,641","8,639",2.14%,98.28%,39.92%,"35,177",244,3.47
25-10-2021,UAE,UAE-Etisalat-ARETC,"18,304","8,803",19.41%,97.84%,48.09%,"29,750",203,3.51
25-10-2021,Yemen,Yemen-Mtn-YEMSP,"3,536",782,6.50%,97.43%,22.12%,"13,647","1,047",6.74
25-10-2021,Bangladesh,Bangladesh-Grameen-BGDGP,"11,881","3,256",7.76%,97.12%,27.41%,"12,254",226,2.96
25-10-2021,Egypt,Egypt-Mobinil-EGYAR,"8,780","2,904",2.35%,97.87%,33.08%,"11,039",228,3.54
25-10-2021,Egypt,Egypt-Vodafone-EGYMS,"7,275","2,502",1.46%,98.69%,34.39%,"8,660",208,3.74
25-10-2021,Bahrain,Bahrain-Batelco-BHRBT,"6,682","3,058",0.83%,99.16%,45.76%,"7,319",144,5.42
25-10-2021,India,India-Idea,"6,107","1,962",10.09%,98.02%,32.13%,"7,227",221,3.86
25-10-2021,Yemen,Yemen-Sabafon-YEMSA,"2,300",416,6.11%,96.57%,18.09%,"6,966","1,005",9.14
25-10-2021,Jordan,Jordan-Orange-JORMC,"3,574","1,355",2.28%,95.86%,37.91%,"5,361",237,3.43
25-10-2021,India,India-Tata,"2,686",745,5.91%,99.14%,27.74%,"3,567",287,3.75
25-10-2021,Jordan,Jordan-Zain-JORFL,"2,398",958,1.21%,96.29%,39.95%,"3,299",207,3.26
25-10-2021,Bangladesh,Bangladesh-Banglalink-BGDBL,"3,828",786,6.13%,97.49%,20.53%,"2,655",203,2.64
25-10-2021,United Kingdom,UK-T-Mobile-GBRME,"1,427",550,0.31%,85.42%,38.54%,"2,396",261,3.24
25-10-2021,Bahrain,Bahrain-Zain-BHRMV,"2,078",899,1.12%,98.99%,43.26%,"2,078",139,4.97
25-10-2021,India,India-Unitech,"1,526",350,3.91%,99.28%,22.94%,"1,654",284,3.8
25-10-2021,India,India-Bpl,"1,041",408,14.30%,98.08%,39.19%,"1,358",200,3.84
25-10-2021,USA/Canada,USA-ATT-Cingular-USACG,872,275,1.05%,98.28%,31.54%,"1,217",265,4.77
25-10-2021,France,France-Orange-FRAF1,"1,034",485,0.30%,98.26%,46.91%,"1,189",147,3.15
25-10-2021,Jordan,Jordan-Umniah-JORUM,675,299,2.28%,96.89%,44.30%,"1,092",219,3.46
25-10-2021,India,India-Vodafone,760,269,9.05%,97.89%,35.39%,942,210,4.12
25-10-2021,Italy,Italy-Wind-ITAWI,623,327,0.17%,97.75%,52.49%,882,162,4.52
25-10-2021,India,India-Aircel,703,257,9.57%,97.72%,36.56%,851,199,3.52
25-10-2021,Spain,Spain-Orange-ESPRT,398,177,0.78%,98.99%,44.47%,836,283,4.05
25-10-2021,Turkey,Turkey-TurkCell-TURTC,"1,123",310,2.28%,97.15%,27.60%,672,130,4.69
25-10-2021,Qatar,Qatar-Qtel-QATQT,871,314,0.46%,99.31%,36.05%,664,127,5.55
25-10-2021,Pakistan,Pakistan-Ufone-PAKUF,"2,189",360,0.32%,95.07%,16.45%,648,108,199.69
25-10-2021,USA/Canada,Canada-Bell-Mobility-CANBM,297,84,1.03%,98.99%,28.28%,577,412,4.55
25-10-2021,UAE,UAE-Du-AREDU,505,227,2.89%,96.83%,44.95%,551,146,2.71
25-10-2021,Kenya,Kenya-Safaricom-KENSA,774,267,7.31%,92.89%,34.50%,550,124,4.62
25-10-2021,Germany,Germany-T-Mobile-DEUD1,600,242,0.87%,97.17%,40.33%,534,132,5.66
25-10-2021,Netherlands,Netherlands-T-Mobile-NLDPN,288,143,0.72%,99.31%,49.65%,528,222,2.83
25-10-2021,United Kingdom,UK-Vodafone-GBRVF,443,120,1.32%,72.01%,27.09%,518,259,6.72
25-10-2021,Kuwait,Kuwait-Wataniya-KWTNM,509,230,1.19%,98.23%,45.19%,514,134,4.3
25-10-2021,USA/Canada,USA-T-Mobile-USAW6,288,135,1.09%,98.26%,46.88%,419,186,5.08
25-10-2021,United Kingdom,UK-Telefonica-GBRCN,213,80,1.58%,93.43%,37.56%,400,300,3.13
25-10-2021,United Kingdom,UK-H3G-GBRHU,204,81,,95.59%,39.71%,393,291,4.15
25-10-2021,Morocco,Morocco-Orange-MARMT,417,162,1.80%,95.20%,38.85%,371,137,3.57
25-10-2021,Sudan,Sudan-Mtn-SDNBT,"2,732",93,1.15%,78.51%,3.40%,365,236,2
25-10-2021,Pakistan,Pakistan-Mobilink-PAKMK,"1,314",264,0.99%,97.03%,20.09%,313,71,4.62
25-10-2021,Morocco,Morocco-Iam-MARM1,717,125,0.44%,70.43%,17.43%,300,144,3.06
25-10-2021,Lebanon,Lebanon-MTC-M1C2-LBNLC,448,113,0.24%,93.53%,25.22%,288,153,4.19
25-10-2021,Oman,Oman-Omanmobile-OMNGT,327,114,0.74%,96.02%,34.86%,272,143,4.26
