Hour,Country Name,Operator Name,Attempts,Answered,A-Release %,NER,ASR,ConV Time (Min),ACT (Sec),CST (Sec)
26-10-2021 14:00,Egypt,Egypt-EtisalatMisr-EGYEM,"1,530",670,2.03%,98.82%,43.79%,"2,638",236,3.58
26-10-2021 18:00,UAE,UAE-Etisalat-ARETC,"1,320",643,19.67%,98.33%,48.71%,"2,516",235,3.69
26-10-2021 13:00,UAE,UAE-Etisalat-ARETC,"1,298",676,19.49%,97.61%,52.08%,"2,352",209,3.4
26-10-2021 13:00,Egypt,Egypt-EtisalatMisr-EGYEM,"1,637",640,1.99%,97.68%,39.10%,"2,301",216,3.5
26-10-2021 17:00,Egypt,Egypt-EtisalatMisr-EGYEM,"1,554",614,2.65%,98.26%,39.51%,"2,293",224,3.53
26-10-2021 17:00,UAE,UAE-Etisalat-ARETC,"1,254",622,20.26%,96.81%,49.60%,"2,292",221,3.45
26-10-2021 16:00,Egypt,Egypt-EtisalatMisr-EGYEM,"1,622",689,1.81%,98.58%,42.48%,"2,268",197,3.47
26-10-2021 15:00,Egypt,Egypt-EtisalatMisr-EGYEM,"1,278",594,2.07%,97.73%,46.48%,"2,192",221,3.59
26-10-2021 12:00,UAE,UAE-Etisalat-ARETC,"1,391",705,19.23%,98.71%,50.68%,"2,187",186,3.57
26-10-2021 20:00,Egypt,Egypt-EtisalatMisr-EGYEM,"1,268",546,2.52%,98.66%,43.06%,"2,150",236,3.49
26-10-2021 16:00,UAE,UAE-Etisalat-ARETC,"1,426",706,19.92%,98.11%,49.51%,"2,113",180,3.46
26-10-2021 20:00,UAE,UAE-Etisalat-ARETC,"1,140",539,20.45%,97.37%,47.28%,"2,108",235,3.6
26-10-2021 11:00,UAE,UAE-Etisalat-ARETC,"1,343",688,19.61%,98.21%,51.23%,"2,073",181,3.56
26-10-2021 22:00,Egypt,Egypt-EtisalatMisr-EGYEM,825,380,2.96%,98.06%,46.06%,"2,072",327,3.6
26-10-2021 18:00,Egypt,Egypt-EtisalatMisr-EGYEM,"1,447",587,2.33%,98.20%,40.57%,"2,066",211,3.48
