Day,Country Name,Operator Name,Attempts,Answered,A-Release %,NER,ASR,ConV Time (Min),ACT (Sec),CST (Sec)
24-10-2021,Egypt,Egypt-EtisalatMisr-EGYEM,"22,936","8,886",2.05%,98.40%,38.74%,"33,952",229,3.47
24-10-2021,UAE,UAE-Etisalat-ARETC,"16,542","7,703",19.40%,97.76%,46.57%,"26,202",204,3.5
24-10-2021,Yemen,Yemen-Mtn-YEMSP,"4,170",976,5.32%,98.13%,23.41%,"14,895",916,6.82
24-10-2021,Bangladesh,Bangladesh-Grameen-BGDGP,"11,480","3,090",8.48%,97.70%,26.92%,"12,066",234,2.91
24-10-2021,Egypt,Egypt-Mobinil-EGYAR,"8,425","2,717",1.92%,97.71%,32.25%,"10,901",241,3.63
24-10-2021,Egypt,Egypt-Vodafone-EGYMS,"7,032","2,493",1.74%,98.29%,35.45%,"8,725",210,3.72
24-10-2021,India,India-Idea,"5,639","1,891",9.78%,98.33%,33.53%,"7,838",249,3.67
24-10-2021,Yemen,Yemen-Sabafon-YEMSA,"3,067",434,4.51%,96.51%,14.15%,"6,833",945,9.22
24-10-2021,Bahrain,Bahrain-Batelco-BHRBT,"6,307","2,779",0.84%,98.75%,44.06%,"6,400",138,5.48
24-10-2021,Jordan,Jordan-Orange-JORMC,"3,968","1,361",2.09%,95.72%,34.30%,"5,032",222,3.5
24-10-2021,Jordan,Jordan-Zain-JORFL,"2,640","1,041",2.09%,97.08%,39.43%,"3,518",203,3.17
24-10-2021,Sudan,Sudan-Mtn-SDNBT,"1,640",594,13.06%,96.22%,36.22%,"3,478",351,6.62
24-10-2021,India,India-Tata,"2,210",631,6.31%,98.82%,28.55%,"2,698",257,3.71
24-10-2021,United Kingdom,UK-T-Mobile-GBRME,"1,485",560,0.37%,83.50%,37.71%,"2,386",256,3.32
24-10-2021,Bangladesh,Bangladesh-Banglalink-BGDBL,"3,754",719,5.89%,97.66%,19.15%,"2,353",196,2.82
24-10-2021,Bahrain,Bahrain-Zain-BHRMV,"1,899",785,1.67%,99.37%,41.34%,"1,854",142,5.16
24-10-2021,India,India-Bpl,"1,003",402,13.07%,98.60%,40.08%,"1,647",246,3.62
24-10-2021,India,India-Unitech,"1,233",303,3.80%,99.27%,24.57%,"1,569",311,3.66
24-10-2021,France,France-Orange-FRAF1,981,463,0.74%,97.86%,47.20%,"1,268",164,3.14
24-10-2021,India,India-Aircel,685,258,12.02%,96.20%,37.66%,"1,058",246,3.61
24-10-2021,Jordan,Jordan-Umniah-JORUM,579,264,2.82%,96.72%,45.60%,"1,048",238,3.39
24-10-2021,USA/Canada,USA-ATT-Cingular-USACG,909,219,1.15%,97.36%,24.09%,"1,047",287,4.62
24-10-2021,Italy,Italy-Wind-ITAWI,761,408,1.09%,98.55%,53.61%,"1,020",150,4.42
24-10-2021,United Kingdom,UK-Vodafone-GBRVF,435,131,1.79%,71.72%,30.11%,780,357,3.05
24-10-2021,USA/Canada,Canada-Bell-Mobility-CANBM,300,90,2.41%,100.00%,30.00%,728,485,4.5
24-10-2021,Pakistan,Pakistan-Ufone-PAKUF,"2,378",406,0.74%,96.05%,17.07%,716,106,3.14
24-10-2021,India,India-Vodafone,661,218,8.51%,97.58%,32.98%,691,190,3.78
24-10-2021,Spain,Spain-Orange-ESPRT,359,135,1.45%,99.44%,37.60%,681,303,3.91
24-10-2021,Germany,Germany-T-Mobile-DEUD1,460,195,0.23%,97.61%,42.39%,591,182,5.84
24-10-2021,Qatar,Qatar-Qtel-QATQT,724,237,0.14%,99.03%,32.73%,543,138,4.84
24-10-2021,UAE,UAE-Du-AREDU,491,196,3.18%,97.56%,39.92%,515,158,2.63
24-10-2021,Switzerland,Switzerland-Swisscom-CHEC1,190,98,1.61%,98.95%,51.58%,484,296,4.29
24-10-2021,Netherlands,Netherlands-T-Mobile-NLDPN,254,128,1.21%,99.21%,50.39%,453,212,2.96
24-10-2021,Turkey,Turkey-TurkCell-TURTC,929,239,1.37%,97.20%,25.73%,450,113,4.62
24-10-2021,United Kingdom,UK-Telefonica-GBRCN,191,84,0.60%,93.72%,43.98%,382,273,3.29
24-10-2021,Kenya,Kenya-Safaricom-KENSA,720,196,4.52%,89.03%,27.22%,371,114,4.25
24-10-2021,United Kingdom,UK-H3G-GBRHU,196,75,,90.31%,38.27%,340,272,3.75
24-10-2021,USA/Canada,USA-T-Mobile-USAW6,245,102,0.44%,99.59%,41.63%,339,199,4.63
24-10-2021,Kuwait,Kuwait-Wataniya-KWTNM,340,145,0.89%,97.94%,42.65%,326,135,4.22
24-10-2021,France,France-SFR-FRAF2,173,93,4.12%,96.53%,53.76%,321,207,2.58
24-10-2021,Lebanon,Lebanon-MTC-M1C2-LBNLC,511,120,,95.11%,23.48%,318,159,4.51
24-10-2021,Oman,Oman-Omanmobile-OMNGT,308,132,0.35%,97.40%,42.86%,302,137,4.23
24-10-2021,Nigeria,Nigeria-Etisalat-NGAEM,630,144,7.65%,97.62%,22.86%,270,112,3.89
24-10-2021,Kuwait,Kuwait-Viva-KWTKT,396,141,1.28%,98.74%,35.61%,266,113,5.16
24-10-2021,Philippines,Philippines-Globe-PHLGT,153,19,2.14%,98.69%,12.42%,208,655,4.56
24-10-2021,Morocco,Morocco-Orange-MARMT,370,118,1.18%,95.41%,31.89%,207,105,3.48
24-10-2021,Pakistan,Pakistan-Waridtel-PAKWA,148,31,2.74%,98.65%,20.95%,200,387,5.2
24-10-2021,Oman,Oman-Nawras-OMNNT,163,45,1.91%,98.77%,27.61%,189,252,3.99
24-10-2021,Pakistan,Pakistan-Mobilink-PAKMK,"1,202",205,1.56%,97.84%,17.05%,181,53,4.06
24-10-2021,Turkey,Turkey-Avea-TURIS,262,65,0.79%,97.33%,24.81%,161,149,4.13
24-10-2021,Spain,Spain-Vodafone-ESPAT,70,20,,100.00%,28.57%,138,414,3.85
24-10-2021,Morocco,Morocco-Iam-MARM1,346,64,,78.90%,18.50%,137,129,3.5
24-10-2021,Netherlands,Netherlands-KPN-NLDPT,115,48,5.06%,85.22%,41.74%,126,158,2.71
24-10-2021,Switzerland,Switzerland-Tdc-CHEDX,108,46,1.94%,91.67%,42.59%,116,152,4.07
24-10-2021,Austria,Austria-Mobilkom-AUTPT,83,44,11.54%,97.59%,53.01%,113,155,4.2
24-10-2021,Philippines,Philippines-Smart-PHLSR,444,62,3.47%,59.68%,13.96%,103,100,2.46
24-10-2021,Germany,Germany-Vodafone-DEUD2,89,25,,98.88%,28.09%,97,233,4.23
