Day,Country Name,Operator Name,Attempts,Answered,A-Release %,NER,ASR,ConV Time (Min),ACT (Sec),CST (Sec)
23-10-2021,Egypt,Egypt-EtisalatMisr-EGYEM,"18,116","6,938",2.25%,98.33%,38.30%,"27,414",237,3.46
23-10-2021,UAE,UAE-Etisalat-ARETC,"14,649","6,516",21.06%,96.45%,44.48%,"19,003",175,3.6
23-10-2021,Yemen,Yemen-Mtn-YEMSP,"3,645",807,5.90%,97.45%,22.14%,"13,846","1,029",6.58
23-10-2021,Bangladesh,Bangladesh-Grameen-BGDGP,"12,403","3,195",7.43%,97.84%,25.76%,"12,113",227,2.74
23-10-2021,Bahrain,Bahrain-Batelco-BHRBT,"9,353","4,014",0.78%,99.01%,42.92%,"7,531",113,5.33
23-10-2021,India,India-Idea,"6,380","2,002",10.09%,97.98%,31.38%,"6,889",206,3.69
23-10-2021,Egypt,Egypt-Vodafone-EGYMS,"6,210","2,099",1.66%,98.78%,33.80%,"6,704",192,3.74
23-10-2021,Egypt,Egypt-Mobinil-EGYAR,"6,605","1,916",1.58%,97.93%,29.01%,"6,642",208,3.66
23-10-2021,Yemen,Yemen-Sabafon-YEMSA,"2,809",461,5.85%,97.22%,16.41%,"6,393",832,9.85
23-10-2021,Sudan,Sudan-Mtn-SDNBT,"1,508",558,15.21%,94.89%,37.00%,"3,310",356,6.99
23-10-2021,Jordan,Jordan-Orange-JORMC,"3,014",908,1.94%,96.32%,30.13%,"3,201",212,3.45
23-10-2021,India,India-Tata,"2,580",739,6.22%,99.19%,28.64%,"3,102",252,3.49
23-10-2021,Bangladesh,Bangladesh-Banglalink-BGDBL,"3,543",732,6.42%,98.39%,20.66%,"2,517",206,2.93
23-10-2021,Jordan,Jordan-Zain-JORFL,"2,055",690,1.21%,95.91%,33.58%,"2,293",199,3.09
23-10-2021,United Kingdom,UK-T-Mobile-GBRME,"1,219",436,0.36%,81.30%,35.77%,"1,875",258,3.17
23-10-2021,India,India-Bpl,"1,009",434,17.49%,97.82%,43.01%,"1,738",240,3.65
23-10-2021,Bahrain,Bahrain-Zain-BHRMV,"2,673","1,031",0.99%,98.73%,38.57%,"1,674",97,5.15
23-10-2021,India,India-Unitech,"1,386",372,4.68%,99.13%,26.84%,"1,403",226,3.63
23-10-2021,USA/Canada,USA-ATT-Cingular-USACG,728,245,2.86%,97.66%,33.65%,"1,292",316,4.66
23-10-2021,France,France-Orange-FRAF1,845,377,0.76%,93.96%,44.62%,"1,178",187,3.05
23-10-2021,India,India-Aircel,866,292,9.95%,97.23%,33.72%,"1,172",241,3.57
23-10-2021,India,India-Vodafone,714,240,9.71%,97.20%,33.61%,827,207,4.08
23-10-2021,Jordan,Jordan-Umniah-JORUM,431,176,3.74%,98.14%,40.84%,694,237,3.49
23-10-2021,Italy,Italy-Wind-ITAWI,549,292,2.27%,97.81%,53.19%,671,138,4.32
23-10-2021,Qatar,Qatar-Qtel-QATQT,818,300,0.25%,99.02%,36.67%,543,109,5.17
23-10-2021,Kenya,Kenya-Safaricom-KENSA,554,179,7.37%,92.24%,32.31%,461,155,4.44
23-10-2021,UAE,UAE-Du-AREDU,507,205,2.72%,86.19%,40.43%,443,130,2.52
23-10-2021,Germany,Germany-T-Mobile-DEUD1,366,139,1.72%,97.81%,37.98%,431,186,5.74
23-10-2021,Pakistan,Pakistan-Ufone-PAKUF,"2,014",327,0.89%,97.72%,16.24%,422,77,3.13
23-10-2021,Morocco,Morocco-Orange-MARMT,358,110,0.30%,96.65%,30.73%,397,217,3.82
23-10-2021,USA/Canada,Canada-Bell-Mobility-CANBM,223,70,3.23%,99.10%,31.39%,385,330,4.46
23-10-2021,Netherlands,Netherlands-T-Mobile-NLDPN,165,99,1.84%,98.79%,60.00%,339,205,2.91
23-10-2021,United Kingdom,UK-Vodafone-GBRVF,328,72,2.17%,64.94%,21.95%,336,280,2.65
23-10-2021,Spain,Spain-Orange-ESPRT,233,116,1.77%,98.71%,49.79%,330,171,3.91
23-10-2021,France,France-SFR-FRAF2,122,40,6.14%,98.36%,32.79%,288,431,2.85
23-10-2021,Turkey,Turkey-TurkCell-TURTC,777,176,1.62%,94.47%,22.65%,275,94,4.5
23-10-2021,Oman,Oman-Omanmobile-OMNGT,222,92,1.46%,94.59%,41.44%,272,178,4.42
23-10-2021,USA/Canada,USA-T-Mobile-USAW6,237,113,2.67%,100.00%,47.68%,256,136,4.97
23-10-2021,United Kingdom,UK-Telefonica-GBRCN,181,58,0.65%,93.37%,32.04%,253,262,3.89
23-10-2021,Pakistan,Pakistan-Mobilink-PAKMK,"1,126",218,1.70%,98.22%,19.36%,249,68,4.23
23-10-2021,Kuwait,Kuwait-Wataniya-KWTNM,290,117,2.42%,98.28%,40.34%,236,121,4.23
23-10-2021,Pakistan,Pakistan-Waridtel-PAKWA,133,36,1.55%,97.74%,27.07%,227,379,5.5
23-10-2021,Morocco,Morocco-Iam-MARM1,489,78,1.37%,66.46%,15.95%,213,164,2.99
23-10-2021,Nigeria,Nigeria-Etisalat-NGAEM,582,118,5.45%,93.99%,20.27%,199,101,3.4
23-10-2021,Kuwait,Kuwait-Viva-KWTKT,392,135,2.07%,98.72%,34.44%,196,87,5.15
23-10-2021,United Kingdom,UK-H3G-GBRHU,125,59,,91.20%,47.20%,193,197,3.65
23-10-2021,Lebanon,Lebanon-MTC-M1C2-LBNLC,376,88,0.60%,93.62%,23.40%,155,106,4.53
23-10-2021,Switzerland,Switzerland-Swisscom-CHEC1,168,78,1.92%,95.24%,46.43%,149,115,4.21
23-10-2021,Germany,Germany-Vodafone-DEUD2,84,36,1.23%,98.81%,42.86%,134,223,4.52
23-10-2021,Oman,Oman-Nawras-OMNNT,160,36,2.76%,95.63%,22.50%,114,190,3.66
23-10-2021,Lithuania,Lithuania-Bite-LTUMT,54,45,55.32%,100.00%,83.33%,111,148,1.08
23-10-2021,Austria,Austria-Mobilkom-AUTPT,59,30,11.11%,93.22%,50.85%,85,170,4
23-10-2021,Georgia,Georgia-Magticom-GEOMA,177,46,3.09%,95.48%,25.99%,78,101,6.46
23-10-2021,Sudan,Sudan-Sudatel-SDNTL,307,40,1.57%,87.95%,13.03%,75,112,4.33
23-10-2021,Switzerland,Switzerland-Tdc-CHEDX,106,38,2.88%,97.17%,35.85%,73,116,4.16
23-10-2021,Spain,Spain-Vodafone-ESPAT,45,21,,100.00%,46.67%,70,199,3.91
23-10-2021,Indonesia,Indonesia-Telkomsel-IDNTS,87,19,7.41%,95.40%,21.84%,67,210,4.82
23-10-2021,South Africa,South Africa-MTN-ZAFMN,2,2,,100.00%,100.00%,56,"1,678",5.23
23-10-2021,Philippines,Philippines-Smart-PHLSR,448,45,2.75%,60.27%,10.04%,53,71,2.46
23-10-2021,Hong Kong,Hong Kong-CSL-HKGTC,25,11,,100.00%,44.00%,50,273,6.29
23-10-2021,Ethiopia,Ethiopia-Ethio-ETH01,159,20,0.71%,89.31%,12.58%,42,127,3.37
23-10-2021,Tunisia,Tunisia-Tunisiana-TUNTA,68,23,,97.06%,33.82%,40,103,4.74
23-10-2021,Syria,Syria-Mtn-SYRSP,198,36,,98.48%,18.18%,38,63,6.65
23-10-2021,Netherlands,Netherlands-KPN-NLDPT,41,23,7.50%,100.00%,56.10%,37,98,3.2
23-10-2021,Turkey,Turkey-Avea-TURIS,149,23,,99.33%,15.44%,36,93,4.09
23-10-2021,Ukraine,Ukraine-Kyivstar-UKRKS,17,9,,100.00%,52.94%,33,220,3.93
23-10-2021,Afghanistan,Afghanistan-Awcc-AFGAW,13,5,15.38%,100.00%,38.46%,32,382,8.39
23-10-2021,Austria,Austria-Tmobile-AUTMM,44,17,4.65%,97.73%,38.64%,30,105,3.73
23-10-2021,Ireland,Ireland-Meteor-IRLME,28,8,,96.43%,28.57%,30,221,5.31
23-10-2021,Belgium,Belgium-Belgacom-BELTB,43,16,11.90%,100.00%,37.21%,29,110,3.19
23-10-2021,Italy,Italy-TIM-Ship-ITAGT,11,8,,90.91%,72.73%,28,213,5.33
23-10-2021,Cyprus,Cyprus-MTN-CYPSC,26,13,,100.00%,50.00%,27,123,3.81
23-10-2021,Kuwait,Kuwait-Zain-KWTMT,48,22,,95.83%,45.83%,27,72,4.38
