Hour,Country Name,Operator Name,Attempts,Answered,A-Release %,NER,ASR,ConV Time (Min),ACT (Sec),CST (Sec)
25-10-2021 13:00,Egypt,Egypt-EtisalatMisr-EGYEM,"1,729",718,1.81%,98.03%,41.53%,"2,735",229,3.55
25-10-2021 17:00,Egypt,Egypt-EtisalatMisr-EGYEM,"1,448",620,2.64%,98.62%,42.82%,"2,524",244,3.49
25-10-2021 14:00,Egypt,Egypt-EtisalatMisr-EGYEM,"1,508",665,1.61%,98.47%,44.10%,"2,480",224,3.49
25-10-2021 20:00,Egypt,Egypt-EtisalatMisr-EGYEM,"1,294",560,3.06%,97.76%,43.28%,"2,460",264,3.6
25-10-2021 15:00,Egypt,Egypt-EtisalatMisr-EGYEM,"1,401",587,1.83%,98.07%,41.90%,"2,412",247,3.4
25-10-2021 16:00,Egypt,Egypt-EtisalatMisr-EGYEM,"1,541",648,3.14%,98.38%,42.05%,"2,291",212,3.35
25-10-2021 18:00,UAE,UAE-Etisalat-ARETC,"1,245",620,20.04%,96.87%,49.80%,"2,261",219,3.53
25-10-2021 12:00,Egypt,Egypt-EtisalatMisr-EGYEM,"1,654",646,1.96%,98.19%,39.06%,"2,241",208,3.39
25-10-2021 17:00,UAE,UAE-Etisalat-ARETC,"1,262",649,21.55%,98.26%,51.43%,"2,179",201,3.52
25-10-2021 18:00,Egypt,Egypt-EtisalatMisr-EGYEM,"1,429",584,1.65%,98.39%,40.87%,"2,168",223,3.55
25-10-2021 20:00,UAE,UAE-Etisalat-ARETC,"1,143",576,20.77%,97.81%,50.39%,"2,160",225,3.65
25-10-2021 19:00,UAE,UAE-Etisalat-ARETC,"1,081",551,19.78%,96.95%,50.97%,"2,142",233,3.7
25-10-2021 11:00,UAE,UAE-Etisalat-ARETC,"1,313",643,17.10%,98.17%,48.97%,"2,090",195,3.39
25-10-2021 16:00,UAE,UAE-Etisalat-ARETC,"1,275",632,21.08%,98.35%,49.57%,"2,079",197,3.54
25-10-2021 12:00,UAE,UAE-Etisalat-ARETC,"1,303",623,18.81%,98.62%,47.81%,"2,067",199,3.33
25-10-2021 19:00,Egypt,Egypt-EtisalatMisr-EGYEM,"1,369",542,2.34%,98.83%,39.59%,"2,057",228,3.43
25-10-2021 14:00,UAE,UAE-Etisalat-ARETC,"1,244",630,19.14%,97.91%,50.64%,"2,053",195,3.56
25-10-2021 11:00,Egypt,Egypt-EtisalatMisr-EGYEM,"1,550",600,1.70%,98.84%,38.71%,"2,009",201,3.3
25-10-2021 21:00,Egypt,Egypt-EtisalatMisr-EGYEM,"1,052",448,2.23%,98.19%,42.59%,"2,006",269,3.59
25-10-2021 15:00,UAE,UAE-Etisalat-ARETC,"1,143",564,18.55%,97.90%,49.34%,"1,859",198,3.46
25-10-2021 22:00,Egypt,Egypt-EtisalatMisr-EGYEM,824,373,2.98%,97.69%,45.27%,"1,816",292,3.59
25-10-2021 13:00,UAE,UAE-Etisalat-ARETC,"1,303",611,19.12%,97.16%,46.89%,"1,756",172,3.17
25-10-2021 10:00,Egypt,Egypt-EtisalatMisr-EGYEM,"1,436",532,1.65%,99.09%,37.05%,"1,740",196,3.47
25-10-2021 10:00,UAE,UAE-Etisalat-ARETC,"1,097",552,19.04%,97.72%,50.32%,"1,667",181,3.49
25-10-2021 21:00,Yemen,Yemen-Mtn-YEMSP,284,82,10.70%,98.59%,28.87%,"1,639","1,199",5.56
25-10-2021 21:00,UAE,UAE-Etisalat-ARETC,862,381,19.60%,97.80%,44.20%,"1,574",248,3.51
25-10-2021 00:00,Egypt,Egypt-EtisalatMisr-EGYEM,375,182,2.05%,98.40%,48.53%,"1,564",516,3.3
25-10-2021 23:00,Egypt,Egypt-EtisalatMisr-EGYEM,577,261,1.70%,96.71%,45.23%,"1,483",341,3.41
25-10-2021 09:00,UAE,UAE-Etisalat-ARETC,926,478,21.49%,98.49%,51.62%,"1,299",163,3.51
25-10-2021 19:00,Yemen,Yemen-Mtn-YEMSP,273,63,5.02%,98.90%,23.08%,"1,258","1,198",6.29
25-10-2021 18:00,Bangladesh,Bangladesh-Grameen-BGDGP,845,251,8.72%,95.86%,29.70%,"1,110",265,3.51
25-10-2021 22:00,UAE,UAE-Etisalat-ARETC,665,291,19.23%,97.44%,43.76%,"1,044",215,3.53
25-10-2021 22:00,Yemen,Yemen-Mtn-YEMSP,174,49,8.54%,97.70%,28.16%,"1,030","1,261",6.11
25-10-2021 19:00,Bangladesh,Bangladesh-Grameen-BGDGP,618,167,6.70%,97.09%,27.02%,"1,014",364,3.32
25-10-2021 21:00,Yemen,Yemen-Sabafon-YEMSA,186,37,9.04%,95.70%,19.89%,"1,008","1,634",8.38
25-10-2021 01:00,Egypt,Egypt-EtisalatMisr-EGYEM,236,99,3.27%,95.76%,41.95%,994,603,3.55
25-10-2021 14:00,Egypt,Egypt-Mobinil-EGYAR,632,238,2.12%,96.84%,37.66%,984,248,3.43
25-10-2021 08:00,UAE,UAE-Etisalat-ARETC,694,331,18.04%,97.84%,47.69%,962,174,3.84
25-10-2021 23:00,UAE,UAE-Etisalat-ARETC,448,184,19.37%,97.32%,41.07%,948,309,3.5
25-10-2021 12:00,Bangladesh,Bangladesh-Grameen-BGDGP,937,306,9.57%,97.87%,32.66%,938,184,2.99
25-10-2021 13:00,Egypt,Egypt-Mobinil-EGYAR,665,238,2.41%,98.80%,35.79%,923,233,3.65
25-10-2021 14:00,Yemen,Yemen-Mtn-YEMSP,167,42,5.26%,94.61%,25.15%,876,"1,252",6.13
25-10-2021 07:00,Bangladesh,Bangladesh-Grameen-BGDGP,660,209,9.42%,98.03%,31.67%,818,235,2.92
25-10-2021 09:00,Egypt,Egypt-EtisalatMisr-EGYEM,971,285,1.89%,98.25%,29.35%,792,167,3.45
25-10-2021 17:00,Bangladesh,Bangladesh-Grameen-BGDGP,703,205,9.71%,96.73%,29.16%,791,232,3.33
25-10-2021 20:00,Yemen,Yemen-Mtn-YEMSP,359,44,4.30%,96.66%,12.26%,778,"1,060",6.27
25-10-2021 16:00,Bangladesh,Bangladesh-Grameen-BGDGP,736,216,7.57%,95.79%,29.35%,775,215,3.08
25-10-2021 09:00,Bangladesh,Bangladesh-Grameen-BGDGP,628,201,8.77%,98.73%,32.01%,768,229,2.81
25-10-2021 16:00,Egypt,Egypt-Mobinil-EGYAR,673,226,2.15%,97.18%,33.58%,763,202,3.39
25-10-2021 10:00,Bangladesh,Bangladesh-Grameen-BGDGP,663,200,9.45%,97.89%,30.17%,746,224,2.81
25-10-2021 12:00,Egypt,Egypt-Mobinil-EGYAR,663,229,3.63%,98.34%,34.54%,739,194,3.77
25-10-2021 20:00,Yemen,Yemen-Sabafon-YEMSA,205,47,6.21%,99.02%,22.93%,721,920,10.82
25-10-2021 09:00,Yemen,Yemen-Mtn-YEMSP,129,29,11.48%,96.90%,22.48%,719,"1,488",7.28
25-10-2021 17:00,Egypt,Egypt-Mobinil-EGYAR,579,197,1.69%,98.62%,34.02%,707,215,3.32
25-10-2021 13:00,Bangladesh,Bangladesh-Grameen-BGDGP,781,224,6.20%,98.08%,28.68%,699,187,3.04
25-10-2021 15:00,Bangladesh,Bangladesh-Grameen-BGDGP,647,176,8.89%,95.83%,27.20%,697,237,2.9
25-10-2021 10:00,Yemen,Yemen-Mtn-YEMSP,192,33,4.44%,96.88%,17.19%,684,"1,243",7.85
25-10-2021 23:00,Yemen,Yemen-Mtn-YEMSP,145,36,5.07%,95.17%,24.83%,671,"1,118",6.25
25-10-2021 15:00,Egypt,Egypt-Mobinil-EGYAR,558,188,3.30%,97.85%,33.69%,665,212,3.4
25-10-2021 14:00,Egypt,Egypt-Vodafone-EGYMS,477,202,1.19%,98.95%,42.35%,665,197,3.65
25-10-2021 13:00,India,India-Idea,399,143,8.51%,97.74%,35.84%,662,278,3.78
25-10-2021 21:00,Egypt,Egypt-Mobinil-EGYAR,431,167,1.05%,96.75%,38.75%,658,236,3.51
25-10-2021 08:00,Bangladesh,Bangladesh-Grameen-BGDGP,527,173,11.11%,97.91%,32.83%,656,227,2.98
25-10-2021 18:00,Egypt,Egypt-Mobinil-EGYAR,609,199,2.92%,97.37%,32.68%,641,193,3.66
25-10-2021 16:00,Yemen,Yemen-Mtn-YEMSP,172,42,10.24%,98.26%,24.42%,638,912,7.2
25-10-2021 11:00,Bangladesh,Bangladesh-Grameen-BGDGP,648,176,8.84%,97.53%,27.16%,634,216,2.88
25-10-2021 22:00,Egypt,Egypt-Vodafone-EGYMS,247,115,0.88%,99.60%,46.56%,629,328,3.76
25-10-2021 11:00,Egypt,Egypt-Mobinil-EGYAR,636,210,2.17%,97.96%,33.02%,623,178,3.49
25-10-2021 18:00,India,India-Idea,508,187,10.08%,99.21%,36.81%,618,198,3.63
25-10-2021 18:00,Egypt,Egypt-Vodafone-EGYMS,574,176,2.07%,98.43%,30.66%,616,210,3.55
25-10-2021 13:00,Yemen,Yemen-Mtn-YEMSP,193,43,4.97%,96.37%,22.28%,616,860,6.86
25-10-2021 13:00,Egypt,Egypt-Vodafone-EGYMS,533,198,1.49%,98.31%,37.15%,609,184,3.9
25-10-2021 19:00,Bahrain,Bahrain-Batelco-BHRBT,540,248,0.75%,98.70%,45.93%,606,147,5.76
